Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Total_Promos
0,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,663,68,1617,0,0,1,0,0
0,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,113,71,27,0,2,3,1,0
0,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,312,60,776,1,0,2,0,0
0,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,139,41,53,1,1,3,1,0
1,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,161,44,422,1,1,3,1,0
1,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,293,58,716,1,1,3,1,0
0,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,593,54,590,0,1,2,1,0
1,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,417,40,169,1,1,3,1,0
1,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,388,51,46,1,1,3,1,0
1,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,108,75,49,1,2,4,1,1
2,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,593,49,61,1,0,2,0,0
0,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,226,66,1102,0,0,1,0,0
1,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,226,73,310,0,2,3,1,0
0,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,627,38,46,1,0,2,0,0
1,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,582,79,1315,0,0,1,0,2
0,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,552,45,96,1,2,4,1,0
0,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,667,79,317,1,0,2,0,0
1,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,458,76,1782,1,1,3,1,1
2,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,603,40,133,0,1,2,1,0
0,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,690,43,316,1,0,2,0,0
0,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,539,46,1730,1,1,3,1,0
1,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,553,76,972,1,1,3,1,1
1,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,169,71,544,1,1,3,1,0
0,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,468,74,444,1,1,3,1,0
0,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,543,56,75,0,0,1,0,0
0,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,398,49,257,1,2,4,1,0
0,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,394,36,131,1,1,3,1,0
1,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,219,60,1672,1,0,2,0,1
1,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,38,36,30,0,0,1,0,0
1,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,414,62,318,1,0,2,0,0
0,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,627,55,120,1,1,3,1,1
1,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,608,73,302,0,2,3,1,0
1,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,494,79,1196,1,0,2,0,0
1,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,304,74,65,0,2,3,1,0
1,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,180,55,913,1,1,3,1,0
2,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,300,49,81,1,1,3,1,0
0,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,138,52,67,0,1,2,1,0
1,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,513,82,902,0,0,1,0,1
0,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,426,45,1395,1,1,3,1,0
1,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,474,40,53,1,1,3,1,0
0,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,552,68,22,1,1,3,1,0
1,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,270,50,31,1,1,3,1,0
0,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,1,49,984,0,0,1,0,0
